Name,Price,Used For,Transmisson,Colour,Make Year,Mileage,Engine (CC),Fuel,Kilometer Run,Waranty,Types
maruti suzuki brezza vxi 2021 (Maruti Suzuki),"रू. 40,50,000",personal,Manual - 2WD,premium silver,2021,20,1500,Petrol,17000,as per company rules,
Kia Sportage single hand with multiple airbag (Kia),"रू. 57,00,000",,Manual - 4WD,grey,2016,,2500,Diesel,36200,,
maruti Suzuki Eeco van with AC (5seater) (Maruti Suzuki),"रू. 14,75,000",,Manual - 2WD,white,2017,,1196,Petrol,38300,,
Mahindra Scorpio S4 plus 2016 single hand (Mahindra),"रू. 33,00,000",,Power Steering,silver,2016,,2000,Petrol,56000,,
Hyundai Kona Electric 150kW (Hyundai),"रू. 65,00,000",1.5 years,Auto - 2WD,metallic blue,2020,550,,Electric,20000,7 years battery warranty,
Fresh Condition Suzuki Swift Vxi 2009 Model onsale (Maruti Suzuki),"रू. 13,50,000",,Manual2WD,silver,2009,13-Dec,1298,Petrol,64000,,
Hyundai tucson (Hyundai),"रू. 23,50,000",private,Manual - 4WD,blue,2009,12,2000,Diesel,73000,no warranty,
Fresh Condition I10 Magna 1.2 2013 Model For Sell (Hyundai),"रू. 17,00,000",,Manual - 2WD,Cream white,2013,14,1200,Petrol,62000,,
Urgent Sale Tata xenon Doible cabin 4 WD 2015 (Tata),"रू. 14,00,000",,Manual4WD,silver,2015,,2200,Diesel,130000,,
Hyundai Creta 2022 model (Hyundai),"रू. 48,00,000",,Manual - 2WD,white,2022,,,Diesel,,,
hilux on sale (Toyota),"रू. 76,00,000",personal,Auto - 4WD,white,2017,15,2700,Petrol,65000,nop,
suzuki brezza zdi+ (Maruti Suzuki),"रू. 31,00,000",private,Manual - 2WD,grey,2017,18,1248,Diesel,56000,no warranty,
Tata Sumo Victa 2008 (Tata),"रू. 9,75,000",,Manual - 2WD,silver,2008,,1948,Diesel,56000,,
I10 Magna 2009 ( 9851008482) (Hyundai),"रू. 13,50,000",,Manual - 2WD,Black,2009,,1197,Petrol,,,
Eicher terra 16xp tipper sasto ma bikrima (Eicher),"रू. 37,00,000",,PowerSteering,Yellow,2021,,4898,Diesel,3700,,
suzuki alto (Maruti Suzuki),"रू. 6,99,000",personal use,Auto - 2WD,silver,2007,,800,Petrol,,,
Tata indica 500000 9860462630 (Tata),"रू. 5,00,000",,Auto2WD,Black,2007,,1500,Petrol,20,,
Swift Dzire 2010 Model (Maruti Suzuki),"रू. 14,00,000",1 year,Power Steering,Grey,2010,15,1300,Petrol,61000,1 week,
Ufo jeep for sale (Other Chinese Brands),"रू. 15,00,000",,Manual2WD,Mate Black,2010,,1600,Petrol,86000,,
Excellent Condition Maruti Suzuki Alto 800 On Sale,"रू. 12,50,000",,Manual - 2WD,Grey,2015,,800,Petrol,40352,,
omni cargo van 2012 for sale (Maruti Suzuki),"रू. 5,25,000",few years,Manual - 2WD,white,2012,10,800,Petrol,8200,no,
good condition somu gold ex 2016 ko fresh xa (Tata),"रू. 15,00,000",privet,Manual - 2WD,read,2016,14,2900,Diesel,80000,no,
good condition bolero dubele cap 4×4 (Mahindra),"रू. 17,50,000",privet,Manual - 4WD,white,2018,12,2523,Diesel,60000,no,
Double Cabin bolero on Sell with full condition (Mahindra),"रू. 13,50,000",,Auto4WD,,2014,,,Diesel,,,
Like New 2021 Suzuki Wagon R up for sale (Maruti Suzuki),"रू. 22,75,000",,Manual2WD,Grey,2021,,1000,Petrol,15000,,
Hyundai I 10 Megna car On sell. (Hyundai),"रू. 13,25,000",,Auto - 2WD,Silver,2009,,1200,Petrol,70000,,
Swift Zxi 2015 Model With Push Bottom On Sale (Maruti Suzuki),"रू. 21,49,999",,Manual - 2WD,Red,2015,16,1200,Petrol,41100,,
2017 model bolero flat body sale or exng with car (Mahindra),"रू. 14,50,000",,Manual2WD,White,2017,,2500,Petrol,53000,,
Maruti Suzuki Alto (Maruti Suzuki),"रू. 11,00,000",singal hand,Power Steering,silver,2011,17,1000,Petrol,58000,no,
Honda City Zxi (Honda),"रू. 11,00,000",,Manual - 2WD,Silver,2007,,1500,Petrol,75000,,
Nissan Patrol Automatic (Nissan),"रू. 1,15,00,000",,Auto4WD,Silver,2014,,3000,Diesel,,,
Hyundai i20 Active (Hyundai),"रू. 25,00,000",7 years',Manual - 2WD,silver,2016,15,1200,Petrol,81000,No,
Daihatsu terios 2014 model for sale (Daihatsu),"रू. 43,00,000",,Manual4WD,White,2014,,1500,Petrol,59000,,
Santro For Sale (Hyundai),"रू. 11,50,000",Home,Manual - 2WD,Black,2007,13,1096,Petrol,57000,,
2007 model maruti sujuki 800 car (Maruti Suzuki),"रू. 5,15,000",,Auto - 2WD,white,2007,19,796,Petrol,,,
2002 model maruti 800 car (Maruti Suzuki),"रू. 3,65,000",,Auto - 2WD,white,2002,18,796,Petrol,56000,,
Cargo Van (Maruti Suzuki),"रू. 3,50,000",1 year,Auto - 2WD,Whitr,2010,10,800,Petrol,80000,No,
Crane (Other Brands),"रू. 25,00,000",,Manual2WD,,2010,,,Petrol,,,
Swift Vxi 2009 (Maruti Suzuki),"रू. 13,85,000",,Manual - 2WD,asure blue,2009,14,1300,Petrol,76500,,
Tata Ace xL (Tata),"रू. 9,50,000",2 years,Manual - 2WD,Cream,2020,,700,Diesel,28250,,
MG ZS EV 2021 model (Other Brands),"रू. 51,00,000",,Auto - 2WD,White,2021,,,Electric,,,
Jimny Suv (Maruti Suzuki),"रू. 17,00,000",Personal,Manual - 4WD,Army green,1998,18,1200,Petrol,98000,No,
Santro (Hyundai),"रू. 22,25,000",,Manual2WD,Grey,2021,,1086,Petrol,15000,,
Hyundai i20 Asta 1.4 Automatic for Sale!!! (Hyundai),"रू. 18,00,000",,Auto2WD,Marron,2010,,1400,Petrol,76342,,
Hyundai Santro Era 2021(9851008482) (Hyundai),"रू. 22,25,000",,Manual - 2WD,Grey,2021,,1100,Petrol,15000,,
Hyundai Santro 2014 Silver (Hyundai),"रू. 16,00,000",sometimes,Manual2WD,Silver,2014,14,1186,Petrol,35000,,
For Sale (Eicher),"रू. 6,50,000",,Auto - 4WD,,2015,,,Diesel,,,
nissan supersaloon sedan car (Nissan),"रू. 12,50,000",personel use,Manual2WD,metalic very light gold,2006,13,1596,Petrol,69000,no,
Swift Zxi 2016 (Maruti Suzuki),"रू. 22,60,000",,Manual - 2WD,,2016,,1200,Petrol,42000,,
2011 BOLERO DOUBLE CAB 4WD (Mahindra),"रू. 9,50,000",,Manual4WD,WHITE,2011,12,2523,Diesel,77000,,
Single Hand 2015 Swift dzire zxi (Maruti Suzuki),"रू. 21,00,000",,Manual2WD,grey,2015,14,1197,Petrol,47000,,
Single hand 2010 i20 asta (Hyundai),"रू. 15,75,000",,Manual2WD,grey,2010,13,1197,Petrol,58000,,
Modified Small Hatchback Daihatshu cuore! (Daihatsu),"रू. 5,75,000",1 year,Manual - 2WD,Blue,1997,12,850,Petrol,98521,,
14 model Bolero is in sale (Mahindra),"रू. 10,50,000",Chicken suppliers,Manual2WD,White,2014,10,2900,Diesel,790000,No,
Ecosport Signature 2018(9851008482) (Ford),"रू. 35,50,000",,Manual - 2WD,Blue,2018,,1500,Petrol,,,
Tata Zest 2017 (Tata),"रू. 24,00,000",2 years,Manual - 2WD,Silver,2017,15,1200,Petrol,29000,3 years,
Hyundai eon era+ (Hyundai),"रू. 10,75,000",,Manual - 2WD,blue,2013,22,814,Petrol,45000,,
Scorpio S4 Urgently Sell Ma (Mahindra),"रू. 26,50,000",7 Years,Auto - 2WD,White,2015,15,2179,Diesel,155000,No,
Ford Figo Titanium 2013 (Ford),"रू. 12,00,000",Office and home,Manual - 2WD,White,2013,15,1200,Petrol,56000,N/A,
Automatic Suzuki celerio on sale (Maruti Suzuki),"रू. 18,00,000",,Auto - 2WD,metallic green,2014,,1000,Petrol,,,
Santro 2010 Fresh (Hyundai),"रू. 13,00,000",13 years,Manual - 2WD,White,2010,12,1100,Petrol,75000,Buy Back,
Toyota Pickup (Toyota),"रू. 8,75,000",,Auto - 4WD,red,1997,,2800,Diesel,,,
santro bikrima (Hyundai),"रू. 10,25,000",10,Manual - 2WD,grey,2006,18,1100,Petrol,100000,,
Suzuki Swift 2007 (Maruti Suzuki),"रू. 11,00,000",,Manual - 2WD,,2017,,1300,Petrol,72256,,
scorpio2015 (Mahindra),"रू. 17,00,000",,Auto - 4WD,white,2015,,,Diesel,,,
2014 modal ko mahendra sell (Mahindra),"रू. 8,95,000",,Auto - 2WD,silbar,2014,12,5223,Diesel,9800,,
Hyundai i10 magna 1200 cc on sell (Hyundai),"रू. 12,75,000",family,Manual - 2WD,blue,2008,14,1200,Petrol,62000,no,
Nexon ev xz+ (Tata),"रू. 36,00,000",13 months,Auto2WD,Blue and white,2021,270+ in one full charge,100kw,Electric,25000,8 years,
Alto taxi (Maruti Suzuki),"रू. 25,50,000",-,Auto - 2WD,,2018,15,800,Petrol,,No,
Santro full option (Hyundai),"रू. 10,35,000",personal,Manual2WD,silver,2006 november,15,1086,Petrol,68500,,
Ford freestyle titanium 2018 (Ford),"रू. 23,00,000",Personal,Auto2WD,Cream,2018,16-17,1200,Petrol,47000,,
"Fresh, single handed, driven by doctor i10 sportz (Hyundai)","रू. 14,85,000",hospital to home,Manual - 2WD,silver,2010,14,1200,Petrol,46374,,
KIA SPORTAG on sale (Kia),"रू. 20,00,000",,Auto4WD,Coffee,2006,12 to 14,2000,Diesel,54000,No,
Hyundai tucson 1991 CC Fully loaded Four wheel 4×4 (Hyundai),"रू. 20,50,000",13 year,Auto - 4WD,maroon,2009,16,1991,Diesel,85000,No,
Sonata (Hyundai),"रू. 27,00,000",11,Manual2WD,Silver,2010,10,2000,Petrol,50000,,
Kia Niro Ev (Kia),"रू. 55,00,000",,Auto - 2WD,Silver,2019,,,Electric,46000,,
Scorpio Pick Up 2016 4wd,"रू. 23,00,000",Valley,Manual - 4WD,Silver,2016,18,2500,Diesel,60965,No,
isuzu v-cross (Other Brands),"रू. 44,99,999",,Manual4WD,sliver,2017,,2499,Diesel,56000,,
Ford Ecosport (Ford),"रू. 17,70,000",,Manual - 2WD,Black,2015,,1500,Petrol,75000,,
Land cruiser Prado vx 2017 model (Toyota),"रू. 2,40,00,000",,Auto4WD,Silver,2017,,3000,Diesel,78564,,
2003 model ko Omni seater van on sale (Maruti Suzuki),"रू. 4,00,000",20 years,Auto - 2WD,white,2003,14,796,Petrol,70000,,
Toyota Corolla LX exceptional condition for sale (Toyota),"रू. 20,50,000",,Manual2WD,Red,2009,18,,Petrol,77000,,
Excellent 2012 ford Figo with 50 percent finance (Ford),"रू. 9,85,000",9 years,Manual2WD,Red,2012,12,1200,Petrol,52000,,
Ford EcoSport wanted (Ford),"रू. 18,00,000",,Manual2WD,White,2016,,,Petrol,50000,,
Excellent Singlehand 2016 breeza (Maruti Suzuki),"रू. 24,90,000",5 years,Manual2WD,Black and white,2016,18,1300,Petrol,47000,,
Taxi 2004 For Sale (Maruti Suzuki),"रू. 6,99,000",,Manual - 2WD,white,2004,69000,800,Petrol,69000,,
Excellent Condition Suzuki Swift Vxi 2009 on sale (Maruti Suzuki),"रू. 13,75,000",,Manual2WD,Silver,2009,13-Dec,1298,Petrol,,,
Santro 2003 Model (Hyundai),"रू. 7,75,000",,Manual - 2WD,Blue,2003,,1100,Petrol,80000,,
Ford Eco Sport on sale (Ford),"रू. 21,50,000",,Auto2WD,White,2015,14,1500,Petrol,42000,,
Need Hyundai i10 (Hyundai),"रू. 14,00,000",,Auto2WD,,2012,,,Petrol,,,
i20 2016 urgent sale (Hyundai),"रू. 24,00,000",,Manual - 2WD,navy blue,2016,,1200,Petrol,30000,,
"urgent sell,9844502651.9813628286 (Mahindra)","रू. 15,00,000",8,Auto - 4WD,white,2020,50,1200,Diesel,,1 year,
urjent (Tata),"रू. 10,50,000",,Auto - 2WD,blue,2021,18,800,Diesel,30000,,
Hyundai I10 magna 2014 (Hyundai),"रू. 17,50,000",,Manual - 2WD,Grey,2014,,,Petrol,,,
I20 Magna (Hyundai),"रू. 14,50,000",,Manual2WD,Silver,2010,12,1200,Petrol,53000,,
Isuzu higher lander truck (Other Brands),"रू. 45,00,000",any where,Manual - 4WD,white,2020,11,2500,Diesel,55000,company warranty,
car (Chevrolet),"रू. 5,75,000",,Manual - 2WD,,2012,,1000,Petrol,25000,,
yodha ba 18 cha 2125 (Tata),"रू. 9,00,000",6 years,Manual - 2WD,white,2017,10,2900,Diesel,1700000,,
6 lakh good condition all tyre new (Kia),"रू. 6,00,000",3year,Auto2WD,Gray,2004,Good,1300,Petrol,45000,Two months,
Ssangyong Rexton Automatic 4WD (Ssangyong),"रू. 1,10,00,000",,Auto4WD,Black,2017,,2157,Diesel,35000,,
Nissan micra 2017 is on sale (Nissan),"रू. 14,50,000",,Manual - 2WD,silver,2017,12,1200,Petrol,40000,,
Ecosport Titanium Full Option 2021 Ford (Ford),"रू. 34,50,000",Self,Manual2WD,Silver,2021,16-18,1497,Petrol,30000,Company Warrenty,
Ford Figo (Ford),"रू. 16,00,000",5,Manual4WD,red,2017,,1656,Diesel,70000,,
Celerio X ZXI 2018 Maruti Suzuki (Maruti Suzuki),"रू. 21,50,000",,Auto4WD,White,2018,20,998,Petrol,38000,,
2008 MODEL TOYOTA PRADO JEEP ON SALE (Toyota),"रू. 70,00,000",PRIVATE,Manual4WD,SILVER,2008,"6, 7",3000,Diesel,110000,NO,
Kia Sportage 2010 AWD for sell (Kia),"रू. 24,50,000",,Auto4WD,Grey,2010,10,1998,Petrol,56000,,
Bolero (Tata),"रू. 16,00,000",,Manual4WD,White,2016,,2523,Diesel,,,
Honda Amaze 1.2 SMT 2014 (Honda),"रू. 17,75,000",,Manual2WD,Light Brown,2014,,1200,Petrol,57000,,
Nissan Sunny FE 1998 (Diesel) (Nissan),"रू. 4,25,000",,Manual2WD,Metallic Silver,1998,,2000,Diesel,,,
2014 model single hand alto car (Maruti Suzuki),"रू. 12,50,000",,Manual - 2WD,silver,2014,17,800,Petrol,23000,no,
Swift VXI 2016 (Maruti Suzuki),"रू. 20,00,000",,Manual2WD,silver,2016,,1200,Petrol,49000,,
Land Cruiser Prado 1998 On Sale (Toyota),"रू. 34,00,000",24 years,Manual - 4WD,Blue,1998,10,2800,Diesel,146000,No warranty,
Hyundai Creta S 2015 (Hyundai),"रू. 29,50,000",,Manual2WD,Silver,2015,,1600,Petrol,,,
Urgent Sale (Safari) (Tata),"रू. 8,50,000",15 Years,Auto2WD,Sllver&Gray,2006,12,2950,Diesel,1500,,
Second hand isuzu Dmax (Other Brands),"रू. 15,00,000",,Manual2WD,White,2018,,2999,Diesel,35000,,
Second hand car (Tata),"रू. 13,00,000",,Manual2WD,Dew white,2014,,1248,Diesel,50000,,
brand new suzuki ignis 2022 (Maruti Suzuki),"रू. 34,74,000",New,Manual2WD,Nexa blue,2022,17,1197,Petrol,315,As per company rules,
urjent sale (Hyundai),"रू. 11,25,000",5 years,Auto2WD,gray,2008,14/15,1086,Petrol,76009,,
Sale of Car (Datsun),"रू. 15,00,000",,PowerSteering,Cream,2017,,1200,Petrol,14000,,
BMW 318i 2003 Model with Automatic Gear (Other Brands),"रू. 45,00,000",,Auto2WD,Blue,2003,,2000,Petrol,62000,,
Nissan Super Saloon 2007 Model (Nissan),"रू. 12,50,000",,Manual2WD,Golden,2007,,1500,Petrol,90000,,
Ford Endeavour 2016 Model with Automatic Gear (Ford),"रू. 83,00,000",,Auto4WD,White,2016,,3200,Diesel,73000,,
Tata ALTROZ top verient (Tata),"रू. 29,00,000",1 and half year,Manual2WD,Silver,2021,16,1200,Petrol,13000,,
venue (Hyundai),"रू. 31,00,000",1.5,Manual2WD,Silver,2020,20,1200,Petrol,6700,,
toyota lx 2008 (Toyota),"रू. 19,50,000",14 years,Manual - 2WD,gray,2008,11,1600,Petrol,71000,no,
Hundai tucson 2009 on sell (Hyundai),"रू. 21,00,000",2 years,Manual4WD,silver,2009,12,2000,Diesel,90000,,
Kia Hiace for sale. (Kia),"रू. 14,00,000",,Manual2WD,Silver,2011,,2600,Diesel,114000,,
suzuki (Maruti Suzuki),"रू. 8,60,000",,Manual - 2WD,red,2009,17,800,Petrol,67,,
Hyundai I10 for sale (Hyundai),"रू. 18,50,000",Personal,PowerSteering,Grey,2015,,1100,Petrol,19800,,
Santro Xing 10 model Gandaki Zone (Hyundai),"रू. 11,65,000",12 Years,Manual2WD,Red berry,2010,50000,1075,Petrol,50000,,
Santro Xing 2007 full option (Hyundai),"रू. 9,50,000",16 Years,Manual2WD,White,2007,18,1047,Petrol,67000,,
VW POLO 1.6 (Volkswagen),"रू. 22,00,000",9 yrs,Manual2WD,silver,2014,15-Dec,1600,Petrol,47000,,
Maruti 2019cargo van (Maruti Suzuki),"रू. 6,85,000",2,Auto2WD,white,2019,12,800,Petrol,,,
Cheverolet spark (american brand) (Chevrolet),"रू. 7,25,000",,Manual2WD,Red,2009,,995,Petrol,63000,,
Creta XsO CVT auto top 2021 (Hyundai),"रू. 66,50,000",1year,Auto2WD,White,2021,13-18,1499,Petrol,17000,4years,
"VOLKSWAGEN POLO 1.6 , 2014 model, Hatchback (Volkswagen)","रू. 20,00,000",Personal single handed,Power Steering,silver,2014,,1600,Petrol,21000,,
Baleno Zeta 2016 Bagmati (Maruti Suzuki),"रू. 22,50,000",,Manual - 2WD,Polar white,2016,,1200,Petrol,59000,,
Excellent Condition Alto 800 Lxi 2015 For Sell (Maruti Suzuki),"रू. 12,50,000",,Manual - 2WD,Grey,2015,18,800,Petrol,40000,,
omni cargo (Maruti Suzuki),"रू. 6,35,000",,Manual - 2WD,,2018,,,Petrol,,,
Car (Other Chinese Brands),"रू. 10,00,000",,Manual - 2WD,Red,2008,,1300,Petrol,20000,,
chevrolet aveo luxurious car for sale (Chevrolet),"रू. 10,50,000",,Manual - 4WD,BALCK,2008,11,1600,Petrol,68000,no warenty,
volkswagen polo highline 1.6 2013 (Volkswagen),"रू. 16,75,000",,Manual - 2WD,silver,2013,,1600,Petrol,,,
Like a new MG zs (EV) 110 kw (Other Brands),"रू. 55,00,000",Pravite,Auto2WD,White,2021,Per full charge 400 km,110 kw,Electric,20000,Due,
Sell or exchange (Ford),"रू. 19,75,000",Personal,Manual2WD,Sea grey,2013,15,1500,Petrol,31000,,
car on sale (Mitsubishi),"रू. 22,50,000",company,Manual - 4WD,white,2007,,2495,Diesel,,no,
Tucson 2009 model URGENT sale (Hyundai),"रू. 23,00,000",,Manual4WD,Blue,2009,,1997,Diesel,67000,,
Mahindra Scorpio S5 4WD (Mahindra),"रू. 39,00,000",,Manual - 4WD,White,2017,14,2179,Diesel,70,No,
Hyundai Elantra 2011 Model (Hyundai),"रू. 30,00,000",,Manual - 2WD,Blue Sky Metallic,2011,,1600,Petrol,65000,,
kia rio fully fresh (Kia),"रू. 8,75,000",few years,Manual - 2WD,silver sky,2007,11,1400,Petrol,68000,no,
car (Maruti Suzuki),"रू. 13,00,000",personal,Manual - 2WD,silver,2010,13,1200,Petrol,68000,no,
Suzuki WagonR 2016 vxi single hand excellent condi (Maruti Suzuki),"रू. 16,50,000",6 year,Manual2WD,Grey,2016,14,1000,Petrol,37000,1 year,
Suzuki swift 2021 Zxi+ top option single hand (Maruti Suzuki),"रू. 28,50,000",1 year,Manual2WD,Metallic white,2021,14,1200,Petrol,22000,In company warranty,
Brand New Brezza 2023 Model (Maruti Suzuki),"रू. 52,99,000",,Manual - 2WD,,2023,19,1462,Hybrid,,As per company rules,
ford ecosport 2014 automatic (Ford),"रू. 24,50,000",,Auto - 2WD,silver,2014,14,,Petrol,44000,,
Hyundai Tucson On Sale (Hyundai),"रू. 21,50,000",Short time,Auto4WD,marron,2008,12-Oct,2000,Diesel,65000,No,
Maruti Suzuki Swift ZXI (Maruti Suzuki),"रू. 26,25,000",,Manual2WD,Silky Silver,2018,,1200,Petrol,33598,,
Polo on sale (Volkswagen),"रू. 23,50,000",,Manual2WD,Chocolate,2016,10,1699,Petrol,47000,,
Volkswagen Polo 1.2 Trendline 2012 Model (Volkswagen),"रू. 14,00,000",,Manual - 2WD,Red,2012,,,Petrol,,,
Suzuki Wagon R on sales (Maruti Suzuki),"रू. 11,00,000",,Manual - 2WD,Red,2010,15,1061,Petrol,49565,,
Eco cargo van: model 2019 (Maruti Suzuki),"रू. 12,50,000",,Manual - 2WD,,2019,,1196,Petrol,,,
Hyundai Creta 2016 (Hyundai),"रू. 32,00,000",,Power Steering,,2016,,1499,Petrol,21500,,
Scorpio s4 2016 model (Mahindra),"रू. 31,00,000",,Manual - 2WD,sky blue 🔵,2016,,2200,Diesel,,,
Grand i10 Asta 2014 (Hyundai),"रू. 20,90,000",,Manual - 2WD,Grey,2014,,1197,Petrol,42000,,
I10 Megna 2013 red color (Hyundai),"रू. 16,00,000",3 years,Manual2WD,Red,2013,13,1200,Petrol,62000,,
hyundai i 20active s 2016 on cell. (Hyundai),"रू. 24,99,000",,Manual2WD,White,2016,,1200,Petrol,,,
Kia sonet (Kia),"रू. 32,30,000",,Manual2WD,,2021,,,Petrol,8500,,
kia Picanto Ex 2010 (Kia),"रू. 11,75,000",,Manual - 2WD,Skey Blue,2010,,1086,Petrol,50000,,
Grand i10 Magna 2015 (Hyundai),"रू. 20,50,000",,Manual - 2WD,Sleek Silver,2015,,1197,Petrol,39000,,
Nissan kicks 2021 model (Nissan),"रू. 41,00,000",,Manual - 2WD,grey,2021,,1600,Petrol,32000,,
"2005 model kia picanto fulloption sale,exng bikes (Kia)","रू. 7,95,000",,Manual2WD,Black,2005,,1000,Petrol,65000,,
Brezza ZXI 2019 (Maruti Suzuki),"रू. 35,00,000",,Manual2WD,,2019,,,Petrol,17000,,
Hyundai grand i10 nios 2021 (Hyundai),"रू. 29,50,000",Privaye,Manual2WD,,2021,13,1200,Petrol,6000,,
2008 model kia sorento fully loaded sale ot exng (Kia),"रू. 20,50,000",,Manual4WD,Silver,2008,,2500,Diesel,65000,,
maruti van (Maruti Suzuki),"रू. 6,90,000",,Auto - 2WD,silver,2012,,800,Petrol,65000,,
sell for mahindra pick-up bullero 1300000 (Mahindra),"रू. 13,00,000",yes,Manual - 2WD,white,2013,18,1600,Diesel,81000,No,
"Datsun Redi Go, 2016 (Datsun)","रू. 11,50,000",,Manual2WD,Grey,2016,22 km/l,800,Petrol,17000,,
Vitara brezza 2023 booking open😍 (Maruti Suzuki),"रू. 52,99,000",New,Manual2WD,Red and black silver,2023,19,1462,Hybrid,314,As per company rules,
Nissan Magnite 2021 Urgent sale (Nissan),"रू. 27,00,000",Personal,Auto2WD,White,2021,17.5,1000,Petrol,16000,,
Sale or Exchange: Volkswagen Cross Polo 1.6 (Volkswagen),"रू. 26,00,000",,Manual2WD,Silver,2016,,1600,Petrol,23000,,
Ford Ranger XL 3.2c 2017 Model Single Hand On Sale (Ford),"रू. 55,00,000",Home,Manual - 4WD,Silver,2017,11,3200,Diesel,61000,,
hyundai creta 2018 on sale (Hyundai),"रू. 37,75,000",,Manual2WD,POLAR WHITE,2018,14-Dec,1500,Petrol,35000,,
Maruti Suzuki alto k10 vxi. (Maruti Suzuki),"रू. 14,50,000",Hospital,Auto - 2WD,Red,2016,19,998,Petrol,45000,no,
Tata zest XT 2015 model 1200 cc (Tata),"रू. 25,00,000",,Manual2WD,,Tata zest XT 2015 model,,1200,Petrol,,,
Fiat Punto Dynamic 2013 for Sale (Fiat),"रू. 11,00,000",9,Manual - 2WD,Silver,2013,18,1248,Diesel,69500,,
"I10 Sportz Grey ,2011 Model 2 Hand , 52000 Km Run (Hyundai)","रू. 15,80,000",Few,Manual - 2WD,Grey,2011,16,1197,Petrol,52000,No warranty,
omni van 8 seater 2016 single hand (Maruti Suzuki),"रू. 8,50,000",personal,Auto - 2WD,silver,2016,16,800,Petrol,34000,no,
mahindra supro t4 (Mahindra),"रू. 7,50,000",3 years,Auto - 2WD,red,2018,13,1000,Diesel,75000,,
i 10 sale 9813637744 fullopson grey ktm rs 1445/- (Hyundai),"रू. 14,45,000",all is ok,Manual - 2WD,grey light,2011,18,1200,Petrol,51700,yes,
Car (Toyota),"रू. 25,00,000",12yrs,PowerSteering,Ash,2011,70k,,Petrol,70000,No,
SWIFT ZXI 2014 On Urgent Sale (Maruti Suzuki),"रू. 18,50,000",8 Years,Manual2WD,White,2014,15 KMPL,1197,Petrol,,,
Hyundai Creta 2021 sx ivt top model (Hyundai),"रू. 65,00,000",,Auto2WD,Typoon silver,2021,15,1500,Petrol,6000,,
skoda laura 2011 (Skoda),"रू. 15,25,000",,Manual - 2WD,black,2011,10,1896,Diesel,70000,,
Hyundai i10 magna (Hyundai),"रू. 15,00,000",N/a,Auto2WD,Carbon grey,2011,N/a,1086,Petrol,,No,
MG ZS EV 2021 model (Other Brands),"रू. 54,00,000",,Auto - 2WD,White,2021,,,Electric,,,
Hyundia I 10 magna (Hyundai),"रू. 17,00,000",,Auto2WD,,2012,,1197,Petrol,48000,No,
Grand i10 Sportz on Sale (Hyundai),"रू. 24,75,000",personal,Manual - 2WD,Gray,2018,16,1200,Petrol,36500,,
Ford EcoSport Titanium 2015 Model (Ford),"रू. 22,00,000",,Manual - 2WD,silver,2015,,,Petrol,,,
Hyundai Tucson 2009 model (Hyundai),"रू. 20,00,000",,Manual - 4WD,Green,2009,,,Diesel,,,
Maruti Omni Van 2018 (Maruti Suzuki),"रू. 9,20,000",4 years,Auto - 2WD,silver,2018,13,796,Petrol,35000,No,
Toyota Etios V (Toyota),"रू. 17,00,000",,Power Steering,Grey,2014,,1500,Petrol,52000,,
Zen Stailo Vxi 2010 (Maruti Suzuki),"रू. 10,25,000",,Manual - 2WD,goldenó,2010,,996,Petrol,51000,,
Brezza on sale (Maruti Suzuki),"रू. 42,00,000",,Power Steering,silver,2021,,1500,Petrol,16000,,
TOYOTA YARIS MADE IN JAPAN (Toyota),"रू. 15,99,000",,Manual - 2WD,Red,2007,15,1496,Petrol,,,
Suzuki Swift VXI 2013 (Maruti Suzuki),"रू. 17,00,000",,Manual - 2WD,Pearl White,2013,,1200,Petrol,,,
Mahindra kuv100 k6 (Mahindra),"रू. 17,50,000",,Manual2WD,Red,2016,16,1000,Petrol,44532,,
Datsun Go (Datsun),"रू. 11,00,000",7,Auto2WD,grey,2014,16,,Petrol,65000,no,
Suzuki baleno 2017 (Maruti Suzuki),"रू. 20,50,000",,Manual2WD,White,2017,,,Petrol,45000,,
Kia Picanto 2006 (Kia),"रू. 9,50,000",,Power Steering,Blue,2006,12,1086,Diesel,72000,,
Suzuki (Maruti Suzuki),"रू. 5,20,000",,Manual - 2WD,गेस विज,2001,16,1061,Petrol,75,,
Vw Vento 1.6L Highline Plus 2013 Exchange Also (Volkswagen),"रू. 17,75,000",9 years,Manual - 2WD,Sliver,2013,14,1600,Petrol,53500,5 years,
Mahindra Scorpio S6 plus 2017 (Mahindra),"रू. 34,00,000",,Manual - 2WD,Silver,2017,,2200,Diesel,,,
"Kia Sonet , Kiasonet Car SUV (Kia)","रू. 31,25,000",,Manual - 2WD,,2021,,1200,Petrol,42000,,
Bolero single cab mahindra sell (Mahindra),"रू. 12,00,000",,Auto2WD,White,2016,,,Diesel,100000,,
Ford Aspire 2015 (Ford),"रू. 15,75,000",Personal use,Manual2WD,Smoke Grey,2015,13,1196,Petrol,485780,NO,
Hyundai Creta SXO 2019 model (Hyundai),"रू. 51,50,000",,Manual - 2WD,silver,2019,,,Petrol,,,
Ford Freestyle 2020 model (Ford),"रू. 24,50,000",,Manual - 2WD,Silver,2020,,,Petrol,,,
Hyundai Santro Xing 2010 model (Hyundai),"रू. 11,50,000",,Manual - 2WD,black,2010,,,Petrol,,,
Maruti zen (Maruti Suzuki),"रू. 3,35,000",,Manual2WD,,2000,,,Petrol,,,
